category,brand,name,permalink,shipping_category_id,price,weight
beer > ingredient,Coopers International,Mexican Cerveza,Mexican_Cerveza,1,15.95 ,1.70 
beer > ingredient,Coopers International,Canadian Blonde,Canadian_Blonde,1,15.95 ,1.70 
beer > ingredient,Coopers International,European Larger,European_Larger,1,15.95 ,1.70 
beer > ingredient,Coopers International,English Bitter,English_Bitter,1,15.95 ,1.70 
beer > ingredient,Coopers International,Australian Pale Ale,Australian_Pale_Ale,1,15.95 ,1.70 
beer > ingredient,Coopers Premium,Austrilian Bitter,Austrilian_Bitter,1,15.95 ,1.70 
beer > ingredient,Coopers Premium,Sparking  Ale,Sparking_Ale,1,15.95 ,1.70 
beer > ingredient,Coopers Premium,Traditional Draught,Traditional_Draught,1,15.95 ,1.70 
beer > ingredient,Coopers Premium,Heritage Larger,Heritage_Larger,1,15.95 ,1.70 
beer > ingredient,Coopers Brewmaster,Irish  Stout,Irish_Stout,1,15.95 ,1.70 
beer > ingredient,Coopers Brewmaster,Indian Pale Ale,Indian_Pale_Ale,1,15.95 ,1.70 
beer > ingredient,Coopers Brewmaster,Pilsener,Pilsener,1,15.95 ,1.70 
beer > ingredient,Mangrove Jack's,Strawberry & Pear Cider,Strawberry__Pear_Cider,1,39.95 ,2.40 
beer > ingredient,Mangrove Jack's,Apple Cider,Apple_Cider,1,39.95 ,2.40 
beer > ingredient,Mangrove Jack's,Mixed Berry Cider,Mixed_Berry_Cider,1,39.95 ,2.40 
beer > ingredient,Mangrove Jack's,Spiced Apple Cider,Spiced_Apple_Cider,1,39.95 ,2.40 
beer > ingredient,Mangrove Jack's,Pear Cider,Pear_Cider,1,40.95 ,2.40 
beer > ingredient,Coopers Standard,Australian Draught,Australian_Draught,1,14.95 ,1.70 
beer > ingredient,Coopers Standard,Australian Larger,Australian_Larger,1,14.95 ,1.70 
beer > ingredient,Coopers Standard,Australian Stout,Australian_Stout,1,14.95 ,1.70 
beer > ingredient,Coopers Standard,Australian Real Ale,Australian_Real_Ale,1,14.95 ,1.70 
beer > ingredient,Coopers Standard,Standard Dark Ale,Standard_Dark_Ale,1,21.95 ,1.70 
beer > ingredient,Muntons,Heavy Ale,Heavy_Ale,1,21.95 ,1.70 
beer > ingredient,Morgans,Australian Larger,Australian_Larger,1,15.50 ,1.70 
